LogSource,ClassificationType,ClassificationName
Flat File - Solaris Audit Log,Audit/Other,Other Audit
Flat File - Solaris Audit Log,Audit/Other Audit Failure,Other Audit Failure
Flat File - Solaris Audit Log,Audit/Other Audit Success,Other Audit Success
Flat File - Solaris Audit Log,Audit/Policy,Policy
Flat File - Solaris Audit Log,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Solaris Audit Log,Ops/Error,Error
Flat File - Solaris Audit Log,Ops/Information,Information
Flat File - Solaris Audit Log,Ops/Network Traffic,Network Traffic
Flat File - Solaris Audit Log,Ops/Other,Other Operations
Flat File - Solaris Audit Log,Ops/Warning,Warning
Flat File - SpamAssassin,Audit/Access Success,Access Success
Flat File - SpamAssassin,Audit/Authentication Success,Authentication Success
Flat File - SpamAssassin,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - SpamAssassin,Ops/Error,Error
Flat File - SpamAssassin,Ops/Information,Information
Flat File - SpamAssassin,Ops/Network Traffic,Network Traffic
Flat File - SpamAssassin,Security/Activity,Activity
Flat File - Squid Proxy,Audit/Access Failure,Access Failure
Flat File - Squid Proxy,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Squid Proxy,Ops/Error,Error
Flat File - Squid Proxy,Ops/Information,Information
Flat File - Squid Proxy,Ops/Network Deny,Network Deny
Flat File - Squid Proxy,Ops/Warning,Warning
Flat File - Squid Proxy,Security/Activity,Activity
Flat File - Squid Proxy,Security/Failed Misuse,Failed Misuse
Flat File - Subversion,Audit/Access Success,Access Success
Flat File - Subversion,Audit/Configuration,Configuration
Flat File - Subversion,Audit/Other,Other Audit
Flat File - Subversion,Audit/Other Audit Success,Other Audit Success
Flat File - Subversion,Ops/Information,Information
Flat File - Sudo.Log,Audit/Access Success,Access Success
Flat File - Sudo.Log,Ops/Information,Information
Flat File - Sudo.Log,Ops/Warning,Warning
Flat File - Swift Alliance,Audit/Access Revoked,Access Revoked
Flat File - Swift Alliance,Audit/Configuration,Configuration
Flat File - Swift Alliance,Ops/Error,Error
Flat File - Swift Alliance,Security/Attack,Attack
Flat File - Symantec Antivirus 10.x Corporate Edtn,Audit/Access Failure,Access Failure
Flat File - Symantec Antivirus 10.x Corporate Edtn,Audit/Authentication Failure,Authentication Failure
Flat File - Symantec Antivirus 10.x Corporate Edtn,Audit/Authentication Success,Authentication Success
Flat File - Symantec Antivirus 10.x Corporate Edtn,Audit/Configuration,Configuration
Flat File - Symantec Antivirus 10.x Corporate Edtn,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Symantec Antivirus 10.x Corporate Edtn,Ops/Error,Error
Flat File - Symantec Antivirus 10.x Corporate Edtn,Ops/Information,Information
Flat File - Symantec Antivirus 10.x Corporate Edtn,Ops/Network Deny,Network Deny
Flat File - Symantec Antivirus 10.x Corporate Edtn,Ops/Other,Other Operations
Flat File - Symantec Antivirus 10.x Corporate Edtn,Ops/Warning,Warning
Flat File - Symantec Antivirus 10.x Corporate Edtn,Security/Failed Malware,Failed Malware
Flat File - Symantec Antivirus 10.x Corporate Edtn,Security/Malware,Malware
Flat File - Symantec Antivirus 10.x Corporate Edtn,Security/Misuse,Misuse
Flat File - Symantec Antivirus 12.x Corporate Edtn,Audit/Access Failure,Access Failure
Flat File - Symantec Antivirus 12.x Corporate Edtn,Audit/Access Success,Access Success
Flat File - Symantec Antivirus 12.x Corporate Edtn,Audit/Configuration,Configuration
Flat File - Symantec Antivirus 12.x Corporate Edtn,Audit/Other,Other Audit
Flat File - Symantec Antivirus 12.x Corporate Edtn,Audit/Other Audit Failure,Other Audit Failure
Flat File - Symantec Antivirus 12.x Corporate Edtn,Audit/Other Audit Success,Other Audit Success
Flat File - Symantec Antivirus 12.x Corporate Edtn,Audit/Policy,Policy
Flat File - Symantec Antivirus 12.x Corporate Edtn,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Symantec Antivirus 12.x Corporate Edtn,Ops/Critical,Critical
Flat File - Symantec Antivirus 12.x Corporate Edtn,Ops/Error,Error
Flat File - Symantec Antivirus 12.x Corporate Edtn,Ops/Information,Information
Flat File - Symantec Antivirus 12.x Corporate Edtn,Ops/Network Traffic,Network Traffic
Flat File - Symantec Antivirus 12.x Corporate Edtn,Ops/Warning,Warning
Flat File - Symantec Antivirus 12.x Corporate Edtn,Security/Activity,Activity
Flat File - Symantec Antivirus 12.x Corporate Edtn,Security/Other,Other Security
Flat File - Symitar Episys Console Log,Audit/Authentication Success,Authentication Success
Flat File - Symitar Episys Console Log,Ops/Critical,Critical
Flat File - Symitar Episys Console Log,Ops/Error,Error
Flat File - Symitar Episys Console Log,Ops/Information,Information
Flat File - Symitar Episys Console Log,Ops/Network Deny,Network Deny
Flat File - Symitar Episys Console Log,Ops/Network Traffic,Network Traffic
Flat File - Symitar Episys Console Log,Ops/Warning,Warning
Flat File - Symitar Episys Sysevent Log,Audit/Access Success,Access Success
Flat File - Symitar Episys Sysevent Log,Audit/Authentication Success,Authentication Success
Flat File - Symitar Episys Sysevent Log,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Symitar Episys Sysevent Log,Ops/Information,Information
Flat File - Tandem EMSOUT Log File,Audit/Configuration,Configuration
Flat File - Tandem EMSOUT Log File,Audit/Policy,Policy
Flat File - Tandem EMSOUT Log File,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Tandem EMSOUT Log File,Ops/Error,Error
Flat File - Tandem EMSOUT Log File,Ops/Information,Information
Flat File - Tandem EMSOUT Log File,Ops/Other,Other Operations
Flat File - Tandem EMSOUT Log File,Ops/Warning,Warning
Flat File - Tandem XYGATE,Audit/Access Granted,Access Granted
Flat File - Tandem XYGATE,Audit/Access Success,Access Success
Flat File - Tandem XYGATE,Audit/Authentication Success,Authentication Success
Flat File - Tandem XYGATE,Audit/Configuration,Configuration
Flat File - Tandem XYGATE,Audit/Other,Other Audit
Flat File - Tandem XYGATE,Ops/Information,Information
Flat File - Tectia SSH Server,Audit/Access Failure,Access Failure
Flat File - Tectia SSH Server,Audit/Access Success,Access Success
Flat File - Tectia SSH Server,Audit/Authentication Failure,Authentication Failure
Flat File - Tectia SSH Server,Audit/Authentication Success,Authentication Success
Flat File - Tectia SSH Server,Audit/Configuration,Configuration
Flat File - Tectia SSH Server,Audit/Other Audit Failure,Other Audit Failure
Flat File - Tectia SSH Server,Audit/Other Audit Success,Other Audit Success
Flat File - Tectia SSH Server,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Tectia SSH Server,Ops/Error,Error
Flat File - Tectia SSH Server,Ops/Information,Information
Flat File - Tectia SSH Server,Ops/Network Allow,Network Allow
Flat File - Tectia SSH Server,Ops/Network Traffic,Network Traffic
Flat File - Tectia SSH Server,Ops/Warning,Warning
Flat File - Tectia SSH Server,Security/Activity,Activity
Flat File - Trade Innovations CSCS,Audit/Access Revoked,Access Revoked
Flat File - Trade Innovations CSCS,Audit/Access Success,Access Success
Flat File - Trade Innovations CSCS,Audit/Authentication Failure,Authentication Failure
Flat File - Trade Innovations CSCS,Audit/Authentication Success,Authentication Success
Flat File - Trade Innovations CSCS,Audit/Other Audit Success,Other Audit Success
Flat File - Trade Innovations CSCS,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Trade Innovations CSCS,Ops/Error,Error
Flat File - Trade Innovations CSCS,Ops/Information,Information
Flat File - Trade Innovations CSCS,Ops/Network Allow,Network Allow
Flat File - Trade Innovations CSCS,Ops/Network Traffic,Network Traffic
Flat File - Trade Innovations CSCS,Ops/Other,Other Operations
Flat File - Trade Innovations CSCS,Ops/Warning,Warning
Flat File - Trend Micro IMSS,Audit/Access Success,Access Success
Flat File - Trend Micro IMSS,Audit/Other Audit Success,Other Audit Success
Flat File - Trend Micro IMSS,Ops/Error,Error
Flat File - Trend Micro IMSS,Ops/Information,Information
Flat File - Trend Micro IMSS,Ops/Network Allow,Network Allow
Flat File - Trend Micro IMSS,Ops/Network Deny,Network Deny
Flat File - Trend Micro IMSS,Ops/Network Traffic,Network Traffic
Flat File - Trend Micro IMSS,Ops/Warning,Warning
Flat File - Trend Micro Office Scan,Audit/Access Success,Access Success
Flat File - Trend Micro Office Scan,Audit/Authentication Failure,Authentication Failure
Flat File - Trend Micro Office Scan,Ops/Error,Error
Flat File - Trend Micro Office Scan,Ops/Information,Information
Flat File - Trend Micro Office Scan,Ops/Network Traffic,Network Traffic
Flat File - Trend Micro Office Scan,Security/Failed Malware,Failed Malware
Flat File - Trend Micro Office Scan,Security/Malware,Malware
Flat File - Tumbleweed Mailgate Server,Audit/Access Failure,Access Failure
Flat File - Tumbleweed Mailgate Server,Audit/Configuration,Configuration
Flat File - Tumbleweed Mailgate Server,Audit/Policy,Policy
Flat File - Tumbleweed Mailgate Server,Ops/Error,Error
Flat File - Tumbleweed Mailgate Server,Ops/Information,Information
Flat File - Tumbleweed Mailgate Server,Ops/Other,Other Operations
Flat File - Tumbleweed Mailgate Server,Ops/Warning,Warning
Flat File - Tumbleweed Mailgate Server,Security/Failed Activity,Failed Activity
Flat File - Tumbleweed Mailgate Server,Security/Suspicious,Suspicious
Flat File - Verint Audit Trail File,Audit/Access Success,Access Success
Flat File - Verint Audit Trail File,Audit/Authentication Success,Authentication Success
Flat File - Verint Audit Trail File,Audit/Other,Other Audit
Flat File - Verint Audit Trail File,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Verint Audit Trail File,Ops/Error,Error
Flat File - Verint Audit Trail File,Ops/Information,Information
Flat File - VMWare Virtual Machine,Ops/Information,Information
Flat File - Voltage Securemail,Audit/Access Granted,Access Granted
Flat File - Voltage Securemail,Audit/Access Success,Access Success
Flat File - Voltage Securemail,Audit/Authentication Failure,Authentication Failure
Flat File - Voltage Securemail,Audit/Authentication Success,Authentication Success
Flat File - Voltage Securemail,Audit/Other Audit Failure,Other Audit Failure
Flat File - Voltage Securemail,Audit/Other Audit Success,Other Audit Success
Flat File - Voltage Securemail,Ops/Information,Information
Flat File - Voltage Securemail,Ops/Network Traffic,Network Traffic
Flat File - Voltage Securemail,Ops/Warning,Warning
Flat File - Vormetric Log File,Audit/Access Failure,Access Failure
Flat File - Vormetric Log File,Audit/Access Success,Access Success
Flat File - Vormetric Log File,Audit/Other,Other Audit
Flat File - vsFTP Daemon Log,Audit/Access Failure,Access Failure
Flat File - vsFTP Daemon Log,Audit/Access Success,Access Success
Flat File - vsFTP Daemon Log,Audit/Authentication Failure,Authentication Failure
Flat File - vsFTP Daemon Log,Audit/Authentication Success,Authentication Success
Flat File - vsFTP Daemon Log,Audit/Other,Other Audit
Flat File - vsFTP Daemon Log,Audit/Other Audit Failure,Other Audit Failure
Flat File - vsFTP Daemon Log,Audit/Other Audit Success,Other Audit Success
Flat File - vsFTP Daemon Log,Ops/Error,Error
Flat File - vsFTP Daemon Log,Ops/Information,Information
Flat File - vsFTP Daemon Log,Ops/Network Traffic,Network Traffic
Flat File - vsFTP Daemon Log,Security/Activity,Activity
Flat File - Vyatta Firewall Kernel Log,Ops/Network Traffic,Network Traffic
Flat File - WordPot Honeypot,Ops/Error,Error
Flat File - WordPot Honeypot,Security/Activity,Activity
Flat File - WordPot Honeypot,Security/Suspicious,Suspicious
Flat File - X-NetStat Log,Ops/Network Traffic,Network Traffic
Flat File - X-NetStat Log,Security/Activity,Activity
Flat File - XPient POS CCA Manager,Audit/Access Failure,Access Failure
Flat File - XPient POS CCA Manager,Audit/Access Granted,Access Granted
Flat File - XPient POS CCA Manager,Audit/Access Success,Access Success
Flat File - XPient POS CCA Manager,Audit/Account Created,Account Created
Flat File - XPient POS CCA Manager,Audit/Authentication Failure,Authentication Failure
Flat File - XPient POS CCA Manager,Audit/Authentication Success,Authentication Success
Flat File - XPient POS CCA Manager,Audit/Other,Other Audit
Flat File - XPient POS CCA Manager,Audit/Other Audit Success,Other Audit Success
Flat File - XPient POS CCA Manager,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - XPient POS CCA Manager,Ops/Information,Information
Flat File - XPient POS CCA Manager,Ops/Warning,Warning
Flat File - XPient POS CCA Manager,Security/Suspicious,Suspicious
Flat File - XPIENT POS POSLOG,Audit/Access Success,Access Success
Flat File - XPIENT POS POSLOG,Audit/Authentication Failure,Authentication Failure
Flat File - XPIENT POS POSLOG,Audit/Authentication Success,Authentication Success
Flat File - XPIENT POS POSLOG,Audit/Other,Other Audit
Flat File - XPIENT POS POSLOG,Audit/Other Audit Success,Other Audit Success
Flat File - XPIENT POS POSLOG,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - XPIENT POS POSLOG,Ops/Error,Error
Flat File - XPIENT POS POSLOG,Ops/Information,Information
Flat File - XPIENT POS POSLOG,Ops/Warning,Warning
Flat File - XPIENT POS Shell Log,Audit/Access Success,Access Success
Flat File - XPIENT POS Shell Log,Audit/Authentication Success,Authentication Success
Flat File - XPIENT POS Shell Log,Audit/Configuration,Configuration
Flat File - XPIENT POS Shell Log,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - XPIENT POS Shell Log,Ops/Information,Information
Flat File - XPIENT POS Shell Log,Ops/Warning,Warning
IPFIX - IP Flow Information Export,Ops/Network Traffic,Network Traffic
J-Flow - Juniper J-Flow Version 5,Ops/Network Traffic,Network Traffic
J-Flow - Juniper J-Flow Version 5,Security/Activity,Activity
J-Flow - Juniper J-Flow Version 5,Security/Suspicious,Suspicious
J-Flow - Juniper J-Flow Version 9,Ops/Network Traffic,Network Traffic
LogRhythm CloudAI,Security/Suspicious,Suspicious
LogRhythm Data Loss Defender,Audit/Access Success,Access Success
LogRhythm Data Loss Defender,Ops/Error,Error
LogRhythm Data Loss Defender,Ops/Information,Information
LogRhythm Demo File - Application Server Log,Ops/Error,Error
LogRhythm Demo File - Application Server Log,Ops/Information,Information
LogRhythm Demo File - Application Server Log,Security/Misuse,Misuse
LogRhythm Demo File - Content Inspection Log,Ops/Information,Information
LogRhythm Demo File - Content Inspection Log,Security/Attack,Attack
LogRhythm Demo File - Content Inspection Log,Security/Failed Attack,Failed Attack
LogRhythm Demo File - Content Inspection Log,Security/Failed Malware,Failed Malware
LogRhythm Demo File - Content Inspection Log,Security/Failed Misuse,Failed Misuse
LogRhythm Demo File - Content Inspection Log,Security/Failed Suspicious,Failed Suspicious
LogRhythm Demo File - Content Inspection Log,Security/Malware,Malware
LogRhythm Demo File - Content Inspection Log,Security/Misuse,Misuse
LogRhythm Demo File - Content Inspection Log,Security/Suspicious,Suspicious
LogRhythm Demo File - Database Audit Log,Audit/Access Failure,Access Failure
LogRhythm Demo File - Database Audit Log,Audit/Access Success,Access Success
LogRhythm Demo File - Database Audit Log,Audit/Authentication Failure,Authentication Failure
LogRhythm Demo File - Database Audit Log,Audit/Authentication Success,Authentication Success
LogRhythm Demo File - Database Audit Log,Ops/Information,Information
LogRhythm Demo File - Ecom Server Log,Ops/Error,Error
LogRhythm Demo File - Ecom Server Log,Ops/Information,Information
LogRhythm Demo File - Ecom Server Log,Security/Misuse,Misuse
LogRhythm Demo File - File Server Log,Audit/Access Failure,Access Failure
LogRhythm Demo File - File Server Log,Audit/Access Success,Access Success
LogRhythm Demo File - File Server Log,Ops/Information,Information
LogRhythm Demo File - Firewall Log,Ops/Information,Information
LogRhythm Demo File - Firewall Log,Ops/Network Allow,Network Allow
LogRhythm Demo File - Firewall Log,Ops/Network Deny,Network Deny
LogRhythm Demo File - Firewall Log,Ops/Network Traffic,Network Traffic
LogRhythm Demo File - FTP Log,Audit/Access Failure,Access Failure
LogRhythm Demo File - FTP Log,Audit/Access Success,Access Success
LogRhythm Demo File - FTP Log,Audit/Authentication Success,Authentication Success
LogRhythm Demo File - FTP Log,Ops/Error,Error
LogRhythm Demo File - FTP Log,Ops/Information,Information
LogRhythm Demo File - FTP Log,Ops/Network Traffic,Network Traffic
LogRhythm Demo File - FTP Log,Ops/Warning,Warning
LogRhythm Demo File - IDS Alarms Log,Audit/Authentication Failure,Authentication Failure
LogRhythm Demo File - IDS Alarms Log,Audit/Authentication Success,Authentication Success
LogRhythm Demo File - IDS Alarms Log,Audit/Configuration,Configuration
LogRhythm Demo File - IDS Alarms Log,Ops/Critical,Critical
LogRhythm Demo File - IDS Alarms Log,Ops/Error,Error
LogRhythm Demo File - IDS Alarms Log,Ops/Information,Information
LogRhythm Demo File - IDS Alarms Log,Ops/Network Traffic,Network Traffic
LogRhythm Demo File - IDS Alarms Log,Ops/Warning,Warning
LogRhythm Demo File - IDS Alarms Log,Security/Activity,Activity
LogRhythm Demo File - IDS Alarms Log,Security/Attack,Attack
LogRhythm Demo File - IDS Alarms Log,Security/Compromise,Compromise
LogRhythm Demo File - IDS Alarms Log,Security/Denial of Service,Denial Of Service
LogRhythm Demo File - IDS Alarms Log,Security/Failed Attack,Failed Attack
LogRhythm Demo File - IDS Alarms Log,Security/Malware,Malware
LogRhythm Demo File - IDS Alarms Log,Security/Misuse,Misuse
LogRhythm Demo File - IDS Alarms Log,Security/Other,Other Security
LogRhythm Demo File - IDS Alarms Log,Security/Reconnaissance,Reconnaissance
LogRhythm Demo File - IDS Alarms Log,Security/Suspicious,Suspicious
LogRhythm Demo File - IDS Alarms Log,Security/Vulnerability,Vulnerability
LogRhythm Demo File - Mail Server Log,Ops/Error,Error
LogRhythm Demo File - Mail Server Log,Ops/Information,Information
LogRhythm Demo File - Netflow Log,Ops/Network Traffic,Network Traffic
LogRhythm Demo File - Network Device Log,Audit/Authentication Success,Authentication Success
LogRhythm Demo File - Network Device Log,Audit/Configuration,Configuration
LogRhythm Demo File - Network Device Log,Ops/Critical,Critical
LogRhythm Demo File - Network Device Log,Ops/Information,Information
LogRhythm Demo File - Network Server Log,Audit/Access Granted,Access Granted
LogRhythm Demo File - Network Server Log,Audit/Access Revoked,Access Revoked
LogRhythm Demo File - Network Server Log,Audit/Account Created,Account Created
LogRhythm Demo File - Network Server Log,Audit/Account Deleted,Account Deleted
LogRhythm Demo File - Network Server Log,Audit/Account Modified,Account Modified
LogRhythm Demo File - Network Server Log,Audit/Authentication Success,Authentication Success
LogRhythm Demo File - Network Server Log,Audit/Configuration,Configuration
LogRhythm Demo File - Network Server Log,Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm Demo File - Network Server Log,Ops/Critical,Critical
LogRhythm Demo File - Network Server Log,Ops/Error,Error
LogRhythm Demo File - Network Server Log,Ops/Information,Information
LogRhythm Demo File - Network Server Log,Ops/Network Deny,Network Deny
LogRhythm Demo File - Network Server Log,Ops/Network Traffic,Network Traffic
LogRhythm Demo File - Network Server Log,Ops/Warning,Warning
LogRhythm Demo File - VPN Log,Audit/Authentication Failure,Authentication Failure
LogRhythm Demo File - VPN Log,Audit/Authentication Success,Authentication Success
LogRhythm Demo File - VPN Log,Audit/Configuration,Configuration
LogRhythm Demo File - VPN Log,Ops/Information,Information
LogRhythm Demo File - Web Access Log,Ops/Error,Error
LogRhythm Demo File - Web Access Log,Ops/Information,Information
LogRhythm Demo File - Web Access Log,Security/Misuse,Misuse
LogRhythm File Monitor (AIX),Audit/Access Failure,Access Failure
LogRhythm File Monitor (AIX),Audit/Access Success,Access Success
LogRhythm File Monitor (AIX),Audit/Other,Other Audit
LogRhythm File Monitor (HP-UX),Audit/Access Failure,Access Failure
LogRhythm File Monitor (HP-UX),Audit/Access Success,Access Success
LogRhythm File Monitor (HP-UX),Audit/Other,Other Audit
LogRhythm File Monitor (Linux),Audit/Access Failure,Access Failure
LogRhythm File Monitor (Linux),Audit/Access Success,Access Success
LogRhythm File Monitor (Linux),Audit/Other,Other Audit
LogRhythm File Monitor (Solaris),Audit/Access Failure,Access Failure
LogRhythm File Monitor (Solaris),Audit/Access Success,Access Success
LogRhythm File Monitor (Solaris),Audit/Other,Other Audit
LogRhythm File Monitor (Windows),Audit/Access Failure,Access Failure
LogRhythm File Monitor (Windows),Audit/Access Success,Access Success
LogRhythm File Monitor (Windows),Audit/Other,Other Audit
LogRhythm Network Connection Monitor (AIX),Ops/Information,Information
LogRhythm Network Connection Monitor (AIX),Ops/Network Traffic,Network Traffic
LogRhythm Network Connection Monitor (HP-UX),Ops/Information,Information
LogRhythm Network Connection Monitor (HP-UX),Ops/Network Traffic,Network Traffic
LogRhythm Network Connection Monitor (Linux),Ops/Information,Information
LogRhythm Network Connection Monitor (Linux),Ops/Network Traffic,Network Traffic
LogRhythm Network Connection Monitor (Solaris),Ops/Information,Information
LogRhythm Network Connection Monitor (Solaris),Ops/Network Traffic,Network Traffic
LogRhythm Network Connection Monitor (Windows),Ops/Information,Information
LogRhythm Network Connection Monitor (Windows),Ops/Network Traffic,Network Traffic
LogRhythm Process Monitor (AIX),Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm Process Monitor (AIX),Ops/Information,Information
LogRhythm Process Monitor (HP-UX),Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm Process Monitor (HP-UX),Ops/Information,Information
LogRhythm Process Monitor (Linux),Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm Process Monitor (Linux),Ops/Information,Information
LogRhythm Process Monitor (Solaris),Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm Process Monitor (Solaris),Ops/Information,Information
LogRhythm Process Monitor (Windows),Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm Process Monitor (Windows),Ops/Information,Information
LogRhythm Registry Integrity Monitor,Security/Activity,Activity
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Access Failure,Access Failure
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Access Granted,Access Granted
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Access Success,Access Success
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Account Modified,Account Modified
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Authentication Failure,Authentication Failure
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Authentication Success,Authentication Success
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Configuration,Configuration
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Other,Other Audit
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Other Audit Success,Other Audit Success
LogRhythm SQL Server 2000 C2 Audit Log,Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm SQL Server 2000 C2 Audit Log,Ops/Error,Error
LogRhythm SQL Server 2000 C2 Audit Log,Ops/Information,Information
LogRhythm SQL Server 2000 C2 Audit Log,Ops/Warning,Warning
LogRhythm SQL Server 2005 C2 Audit Log,Audit/Access Granted,Access Granted
LogRhythm SQL Server 2005 C2 Audit Log,Audit/Access Success,Access Success
LogRhythm SQL Server 2005 C2 Audit Log,Audit/Account Modified,Account Modified
LogRhythm SQL Server 2005 C2 Audit Log,Audit/Authentication Failure,Authentication Failure
LogRhythm SQL Server 2005 C2 Audit Log,Audit/Authentication Success,Authentication Success
LogRhythm SQL Server 2005 C2 Audit Log,Audit/Configuration,Configuration
LogRhythm SQL Server 2005 C2 Audit Log,Audit/Other,Other Audit
LogRhythm SQL Server 2005 C2 Audit Log,Audit/Other Audit Success,Other Audit Success
LogRhythm SQL Server 2005 C2 Audit Log,Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm SQL Server 2005 C2 Audit Log,Ops/Error,Error
LogRhythm SQL Server 2005 C2 Audit Log,Ops/Information,Information
LogRhythm SQL Server 2005 C2 Audit Log,Ops/Warning,Warning
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Access Failure,Access Failure
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Access Granted,Access Granted
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Access Success,Access Success
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Account Modified,Account Modified
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Authentication Failure,Authentication Failure
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Authentication Success,Authentication Success
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Configuration,Configuration
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Other,Other Audit
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Other Audit Success,Other Audit Success
LogRhythm SQL Server 2008 C2 Audit Log,Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm SQL Server 2008 C2 Audit Log,Ops/Error,Error
LogRhythm SQL Server 2008 C2 Audit Log,Ops/Information,Information
LogRhythm SQL Server 2008 C2 Audit Log,Ops/Warning,Warning
LogRhythm SQL Server 2012 C2 Audit Log,Audit/Access Granted,Access Granted
LogRhythm SQL Server 2012 C2 Audit Log,Audit/Access Success,Access Success
LogRhythm SQL Server 2012 C2 Audit Log,Audit/Account Modified,Account Modified
LogRhythm SQL Server 2012 C2 Audit Log,Audit/Authentication Failure,Authentication Failure
LogRhythm SQL Server 2012 C2 Audit Log,Audit/Authentication Success,Authentication Success
LogRhythm SQL Server 2012 C2 Audit Log,Audit/Configuration,Configuration
LogRhythm SQL Server 2012 C2 Audit Log,Audit/Other,Other Audit
LogRhythm SQL Server 2012 C2 Audit Log,Audit/Other Audit Success,Other Audit Success
LogRhythm SQL Server 2012 C2 Audit Log,Audit/Startup and Shutdown,Startup and Shutdown
LogRhythm SQL Server 2012 C2 Audit Log,Ops/Error,Error
LogRhythm SQL Server 2012 C2 Audit Log,Ops/Information,Information
LogRhythm SQL Server 2012 C2 Audit Log,Ops/Warning,Warning
LogRhythm User Activity Monitor (AIX),Audit/Authentication Success,Authentication Success
LogRhythm User Activity Monitor (AIX),Audit/Other,Other Audit
LogRhythm User Activity Monitor (HP-UX),Audit/Authentication Success,Authentication Success
LogRhythm User Activity Monitor (HP-UX),Audit/Other,Other Audit
LogRhythm User Activity Monitor (Linux),Audit/Authentication Success,Authentication Success
LogRhythm User Activity Monitor (Linux),Audit/Other,Other Audit
LogRhythm User Activity Monitor (Solaris),Audit/Authentication Success,Authentication Success
LogRhythm User Activity Monitor (Solaris),Audit/Other,Other Audit
LogRhythm User Activity Monitor (Windows),Audit/Authentication Success,Authentication Success
LogRhythm User Activity Monitor (Windows),Audit/Other,Other Audit
Microsoft Event Log for XP/2000/2003 - Application,Audit/Access Failure,Access Failure
Microsoft Event Log for XP/2000/2003 - Application,Audit/Access Granted,Access Granted
Microsoft Event Log for XP/2000/2003 - Application,Audit/Access Revoked,Access Revoked
Microsoft Event Log for XP/2000/2003 - Application,Audit/Access Success,Access Success
Microsoft Event Log for XP/2000/2003 - Application,Audit/Account Created,Account Created
Microsoft Event Log for XP/2000/2003 - Application,Audit/Account Deleted,Account Deleted
Microsoft Event Log for XP/2000/2003 - Application,Audit/Account Modified,Account Modified
Microsoft Event Log for XP/2000/2003 - Application,Audit/Authentication Failure,Authentication Failure
Microsoft Event Log for XP/2000/2003 - Application,Audit/Authentication Success,Authentication Success
Microsoft Event Log for XP/2000/2003 - Application,Audit/Configuration,Configuration
Microsoft Event Log for XP/2000/2003 - Application,Audit/Other,Other Audit
Microsoft Event Log for XP/2000/2003 - Application,Audit/Other Audit Failure,Other Audit Failure
Microsoft Event Log for XP/2000/2003 - Application,Audit/Other Audit Success,Other Audit Success
Microsoft Event Log for XP/2000/2003 - Application,Audit/Policy,Policy
Microsoft Event Log for XP/2000/2003 - Application,Audit/Startup and Shutdown,Startup and Shutdown
Microsoft Event Log for XP/2000/2003 - Application,Ops/Critical,Critical
Microsoft Event Log for XP/2000/2003 - Application,Ops/Error,Error
Microsoft Event Log for XP/2000/2003 - Application,Ops/Information,Information
Microsoft Event Log for XP/2000/2003 - Application,Ops/Network Deny,Network Deny
Microsoft Event Log for XP/2000/2003 - Application,Ops/Network Traffic,Network Traffic
Microsoft Event Log for XP/2000/2003 - Application,Ops/Other,Other Operations
Microsoft Event Log for XP/2000/2003 - Application,Ops/Warning,Warning
Microsoft Event Log for XP/2000/2003 - Application,Security/Activity,Activity
Microsoft Event Log for XP/2000/2003 - Application,Security/Attack,Attack
